year,month,total_orders,gross_sales,discounts,returns,total_sales
2020,January,73,8861.5,-129.4,-448.45,8283.65
2020,February,56,6908.5,-104.7,-416.2,6387.6
2020,March,60,5778.5,-172.2,-1017.2,4589.1
2020,April,70,8814.0,-281.4,0.0,8532.6
2020,May,54,6677.0,-185.75,-253.8,6237.45
2020,June,68,9621.5,-234.45,-17.5,9369.55
2020,July,66,6480.0,-51.5,-469.2,5959.3
2020,August,55,8025.0,-258.9,-26.0,7740.1
2020,September,68,7075.0,-61.7,-281.0,6732.3
2020,October,59,5720.0,-88.0,-305.0,5327.0
2020,November,91,13025.0,-131.3,-323.85,12569.85
2020,December,116,10356.05,-149.85,-414.2,9792.0
